25 132 
1 7 0.001 
1 10 0.001 
1 21 0.001 
1 23 0.001 
1 24 0.001 
2 11 0.001 
2 13 0.001 
2 20 0.001 
2 23 0.001 
2 25 0.001 
3 6 0.001 
4 12 0.001 
4 14 0.001 
4 16 0.001 
4 19 0.001 
4 20 0.001 
5 7 0.001 
5 10 0.001 
5 13 0.001 
5 19 0.001 
6 9 0.001 
6 12 0.001 
6 21 0.001 
7 8 0.001 
7 9 0.001 
7 10 0.001 
7 12 0.001 
7 23 0.001 
8 13 0.001 
8 16 0.001 
8 20 0.001 
8 21 0.001 
8 22 0.001 
8 23 0.001 
9 10 0.001 
9 21 0.001 
10 14 0.001 
10 17 0.001 
10 25 0.001 
11 12 0.001 
11 13 0.001 
11 14 0.001 
11 16 0.001 
11 18 0.001 
11 24 0.001 
11 25 0.001 
12 13 0.001 
12 18 0.001 
13 17 0.001 
13 23 0.001 
14 18 0.001 
14 23 0.001 
15 19 0.001 
15 23 0.001 
15 24 0.001 
16 17 0.001 
16 24 0.001 
17 19 0.001 
17 20 0.001 
17 22 0.001 
17 25 0.001 
18 20 0.001 
18 23 0.001 
19 24 0.001 
22 25 0.001 
23 24 0.001 
7 1 0.001 
10 1 0.001 
21 1 0.001 
23 1 0.001 
24 1 0.001 
11 2 0.001 
13 2 0.001 
20 2 0.001 
23 2 0.001 
25 2 0.001 
6 3 0.001 
12 4 0.001 
14 4 0.001 
16 4 0.001 
19 4 0.001 
20 4 0.001 
7 5 0.001 
10 5 0.001 
13 5 0.001 
19 5 0.001 
9 6 0.001 
12 6 0.001 
21 6 0.001 
8 7 0.001 
9 7 0.001 
10 7 0.001 
12 7 0.001 
23 7 0.001 
13 8 0.001 
16 8 0.001 
20 8 0.001 
21 8 0.001 
22 8 0.001 
23 8 0.001 
10 9 0.001 
21 9 0.001 
14 10 0.001 
17 10 0.001 
25 10 0.001 
12 11 0.001 
13 11 0.001 
14 11 0.001 
16 11 0.001 
18 11 0.001 
24 11 0.001 
25 11 0.001 
13 12 0.001 
18 12 0.001 
17 13 0.001 
23 13 0.001 
18 14 0.001 
23 14 0.001 
19 15 0.001 
23 15 0.001 
24 15 0.001 
17 16 0.001 
24 16 0.001 
19 17 0.001 
20 17 0.001 
22 17 0.001 
25 17 0.001 
20 18 0.001 
23 18 0.001 
24 19 0.001 
25 22 0.001 
24 23 0.001 
