10 62 
1 2 0.01 
1 4 0.01 
1 5 0.01 
1 7 0.01 
1 8 0.01 
1 9 0.01 
2 4 0.01 
2 5 0.01 
2 6 0.01 
2 9 0.01 
3 4 0.01 
3 6 0.01 
3 7 0.01 
3 8 0.01 
3 9 0.01 
4 5 0.01 
4 7 0.01 
4 8 0.01 
5 6 0.01 
5 7 0.01 
5 8 0.01 
5 9 0.01 
5 10 0.01 
6 8 0.01 
6 9 0.01 
7 8 0.01 
7 9 0.01 
7 10 0.01 
8 9 0.01 
8 10 0.01 
9 10 0.01 
2 1 0.01 
4 1 0.01 
5 1 0.01 
7 1 0.01 
8 1 0.01 
9 1 0.01 
4 2 0.01 
5 2 0.01 
6 2 0.01 
9 2 0.01 
4 3 0.01 
6 3 0.01 
7 3 0.01 
8 3 0.01 
9 3 0.01 
5 4 0.01 
7 4 0.01 
8 4 0.01 
6 5 0.01 
7 5 0.01 
8 5 0.01 
9 5 0.01 
10 5 0.01 
8 6 0.01 
9 6 0.01 
8 7 0.01 
9 7 0.01 
10 7 0.01 
9 8 0.01 
10 8 0.01 
10 9 0.01 
