34 156 
1 2 0.2 
1 3 0.2 
1 4 0.2 
1 5 0.2 
1 6 0.2 
1 7 0.2 
1 8 0.2 
1 9 0.2 
1 11 0.2 
1 12 0.2 
1 13 0.2 
1 14 0.2 
1 18 0.2 
1 20 0.2 
1 22 0.2 
1 32 0.2 
2 3 0.2 
2 4 0.2 
2 8 0.2 
2 14 0.2 
2 18 0.2 
2 20 0.2 
2 22 0.2 
2 31 0.2 
3 4 0.2 
3 8 0.2 
3 9 0.2 
3 10 0.2 
3 14 0.2 
3 28 0.2 
3 29 0.2 
3 33 0.2 
4 8 0.2 
4 13 0.2 
4 14 0.2 
5 7 0.2 
5 11 0.2 
6 7 0.2 
6 11 0.2 
6 17 0.2 
7 17 0.2 
9 31 0.2 
9 33 0.2 
9 34 0.2 
10 34 0.2 
14 34 0.2 
15 33 0.2 
15 34 0.2 
16 33 0.2 
16 34 0.2 
19 33 0.2 
19 34 0.2 
20 34 0.2 
21 33 0.2 
21 34 0.2 
23 33 0.2 
23 34 0.2 
24 26 0.2 
24 28 0.2 
24 30 0.2 
24 33 0.2 
24 34 0.2 
25 26 0.2 
25 28 0.2 
25 32 0.2 
26 32 0.2 
27 30 0.2 
27 34 0.2 
28 34 0.2 
29 32 0.2 
29 34 0.2 
30 33 0.2 
30 34 0.2 
31 33 0.2 
31 34 0.2 
32 33 0.2 
32 34 0.2 
33 34 0.2 
2 1 0.2 
3 1 0.2 
4 1 0.2 
5 1 0.2 
6 1 0.2 
7 1 0.2 
8 1 0.2 
9 1 0.2 
11 1 0.2 
12 1 0.2 
13 1 0.2 
14 1 0.2 
18 1 0.2 
20 1 0.2 
22 1 0.2 
32 1 0.2 
3 2 0.2 
4 2 0.2 
8 2 0.2 
14 2 0.2 
18 2 0.2 
20 2 0.2 
22 2 0.2 
31 2 0.2 
4 3 0.2 
8 3 0.2 
9 3 0.2 
10 3 0.2 
14 3 0.2 
28 3 0.2 
29 3 0.2 
33 3 0.2 
8 4 0.2 
13 4 0.2 
14 4 0.2 
7 5 0.2 
11 5 0.2 
7 6 0.2 
11 6 0.2 
17 6 0.2 
17 7 0.2 
31 9 0.2 
33 9 0.2 
34 9 0.2 
34 10 0.2 
34 14 0.2 
33 15 0.2 
34 15 0.2 
33 16 0.2 
34 16 0.2 
33 19 0.2 
34 19 0.2 
34 20 0.2 
33 21 0.2 
34 21 0.2 
33 23 0.2 
34 23 0.2 
26 24 0.2 
28 24 0.2 
30 24 0.2 
33 24 0.2 
34 24 0.2 
26 25 0.2 
28 25 0.2 
32 25 0.2 
32 26 0.2 
30 27 0.2 
34 27 0.2 
34 28 0.2 
32 29 0.2 
34 29 0.2 
33 30 0.2 
34 30 0.2 
33 31 0.2 
34 31 0.2 
33 32 0.2 
34 32 0.2 
34 33 0.2 
