30 196 
1 3 0.1 
1 6 0.1 
1 7 0.1 
1 14 0.1 
1 15 0.1 
1 18 0.1 
1 19 0.1 
2 5 0.1 
2 13 0.1 
2 14 0.1 
2 16 0.1 
3 9 0.1 
3 10 0.1 
3 12 0.1 
3 14 0.1 
3 22 0.1 
3 25 0.1 
3 28 0.1 
3 29 0.1 
3 30 0.1 
4 8 0.1 
4 9 0.1 
4 13 0.1 
4 22 0.1 
4 23 0.1 
4 24 0.1 
4 25 0.1 
4 27 0.1 
4 30 0.1 
5 17 0.1 
5 25 0.1 
6 9 0.1 
6 12 0.1 
6 16 0.1 
6 18 0.1 
6 21 0.1 
6 29 0.1 
7 19 0.1 
7 21 0.1 
7 23 0.1 
8 11 0.1 
8 19 0.1 
8 21 0.1 
8 22 0.1 
8 24 0.1 
8 29 0.1 
9 14 0.1 
9 26 0.1 
9 29 0.1 
10 17 0.1 
10 20 0.1 
11 12 0.1 
11 14 0.1 
11 16 0.1 
11 17 0.1 
11 23 0.1 
11 27 0.1 
12 13 0.1 
12 16 0.1 
13 15 0.1 
13 16 0.1 
13 18 0.1 
13 19 0.1 
13 21 0.1 
13 22 0.1 
13 24 0.1 
14 15 0.1 
14 17 0.1 
14 24 0.1 
14 26 0.1 
14 30 0.1 
15 21 0.1 
15 27 0.1 
15 28 0.1 
15 29 0.1 
16 21 0.1 
16 27 0.1 
17 23 0.1 
17 30 0.1 
18 19 0.1 
18 23 0.1 
18 27 0.1 
18 30 0.1 
19 23 0.1 
20 21 0.1 
20 27 0.1 
20 29 0.1 
21 22 0.1 
21 30 0.1 
22 23 0.1 
22 26 0.1 
22 28 0.1 
23 28 0.1 
23 30 0.1 
26 28 0.1 
26 30 0.1 
27 29 0.1 
29 30 0.1 
3 1 0.1 
6 1 0.1 
7 1 0.1 
14 1 0.1 
15 1 0.1 
18 1 0.1 
19 1 0.1 
5 2 0.1 
13 2 0.1 
14 2 0.1 
16 2 0.1 
9 3 0.1 
10 3 0.1 
12 3 0.1 
14 3 0.1 
22 3 0.1 
25 3 0.1 
28 3 0.1 
29 3 0.1 
30 3 0.1 
8 4 0.1 
9 4 0.1 
13 4 0.1 
22 4 0.1 
23 4 0.1 
24 4 0.1 
25 4 0.1 
27 4 0.1 
30 4 0.1 
17 5 0.1 
25 5 0.1 
9 6 0.1 
12 6 0.1 
16 6 0.1 
18 6 0.1 
21 6 0.1 
29 6 0.1 
19 7 0.1 
21 7 0.1 
23 7 0.1 
11 8 0.1 
19 8 0.1 
21 8 0.1 
22 8 0.1 
24 8 0.1 
29 8 0.1 
14 9 0.1 
26 9 0.1 
29 9 0.1 
17 10 0.1 
20 10 0.1 
12 11 0.1 
14 11 0.1 
16 11 0.1 
17 11 0.1 
23 11 0.1 
27 11 0.1 
13 12 0.1 
16 12 0.1 
15 13 0.1 
16 13 0.1 
18 13 0.1 
19 13 0.1 
21 13 0.1 
22 13 0.1 
24 13 0.1 
15 14 0.1 
17 14 0.1 
24 14 0.1 
26 14 0.1 
30 14 0.1 
21 15 0.1 
27 15 0.1 
28 15 0.1 
29 15 0.1 
21 16 0.1 
27 16 0.1 
23 17 0.1 
30 17 0.1 
19 18 0.1 
23 18 0.1 
27 18 0.1 
30 18 0.1 
23 19 0.1 
21 20 0.1 
27 20 0.1 
29 20 0.1 
22 21 0.1 
30 21 0.1 
23 22 0.1 
26 22 0.1 
28 22 0.1 
28 23 0.1 
30 23 0.1 
28 26 0.1 
30 26 0.1 
29 27 0.1 
30 29 0.1 
