30 196 
1 3 0.001 
1 6 0.001 
1 7 0.001 
1 14 0.001 
1 15 0.001 
1 18 0.001 
1 19 0.001 
2 5 0.001 
2 13 0.001 
2 14 0.001 
2 16 0.001 
3 9 0.001 
3 10 0.001 
3 12 0.001 
3 14 0.001 
3 22 0.001 
3 25 0.001 
3 28 0.001 
3 29 0.001 
3 30 0.001 
4 8 0.001 
4 9 0.001 
4 13 0.001 
4 22 0.001 
4 23 0.001 
4 24 0.001 
4 25 0.001 
4 27 0.001 
4 30 0.001 
5 17 0.001 
5 25 0.001 
6 9 0.001 
6 12 0.001 
6 16 0.001 
6 18 0.001 
6 21 0.001 
6 29 0.001 
7 19 0.001 
7 21 0.001 
7 23 0.001 
8 11 0.001 
8 19 0.001 
8 21 0.001 
8 22 0.001 
8 24 0.001 
8 29 0.001 
9 14 0.001 
9 26 0.001 
9 29 0.001 
10 17 0.001 
10 20 0.001 
11 12 0.001 
11 14 0.001 
11 16 0.001 
11 17 0.001 
11 23 0.001 
11 27 0.001 
12 13 0.001 
12 16 0.001 
13 15 0.001 
13 16 0.001 
13 18 0.001 
13 19 0.001 
13 21 0.001 
13 22 0.001 
13 24 0.001 
14 15 0.001 
14 17 0.001 
14 24 0.001 
14 26 0.001 
14 30 0.001 
15 21 0.001 
15 27 0.001 
15 28 0.001 
15 29 0.001 
16 21 0.001 
16 27 0.001 
17 23 0.001 
17 30 0.001 
18 19 0.001 
18 23 0.001 
18 27 0.001 
18 30 0.001 
19 23 0.001 
20 21 0.001 
20 27 0.001 
20 29 0.001 
21 22 0.001 
21 30 0.001 
22 23 0.001 
22 26 0.001 
22 28 0.001 
23 28 0.001 
23 30 0.001 
26 28 0.001 
26 30 0.001 
27 29 0.001 
29 30 0.001 
3 1 0.001 
6 1 0.001 
7 1 0.001 
14 1 0.001 
15 1 0.001 
18 1 0.001 
19 1 0.001 
5 2 0.001 
13 2 0.001 
14 2 0.001 
16 2 0.001 
9 3 0.001 
10 3 0.001 
12 3 0.001 
14 3 0.001 
22 3 0.001 
25 3 0.001 
28 3 0.001 
29 3 0.001 
30 3 0.001 
8 4 0.001 
9 4 0.001 
13 4 0.001 
22 4 0.001 
23 4 0.001 
24 4 0.001 
25 4 0.001 
27 4 0.001 
30 4 0.001 
17 5 0.001 
25 5 0.001 
9 6 0.001 
12 6 0.001 
16 6 0.001 
18 6 0.001 
21 6 0.001 
29 6 0.001 
19 7 0.001 
21 7 0.001 
23 7 0.001 
11 8 0.001 
19 8 0.001 
21 8 0.001 
22 8 0.001 
24 8 0.001 
29 8 0.001 
14 9 0.001 
26 9 0.001 
29 9 0.001 
17 10 0.001 
20 10 0.001 
12 11 0.001 
14 11 0.001 
16 11 0.001 
17 11 0.001 
23 11 0.001 
27 11 0.001 
13 12 0.001 
16 12 0.001 
15 13 0.001 
16 13 0.001 
18 13 0.001 
19 13 0.001 
21 13 0.001 
22 13 0.001 
24 13 0.001 
15 14 0.001 
17 14 0.001 
24 14 0.001 
26 14 0.001 
30 14 0.001 
21 15 0.001 
27 15 0.001 
28 15 0.001 
29 15 0.001 
21 16 0.001 
27 16 0.001 
23 17 0.001 
30 17 0.001 
19 18 0.001 
23 18 0.001 
27 18 0.001 
30 18 0.001 
23 19 0.001 
21 20 0.001 
27 20 0.001 
29 20 0.001 
22 21 0.001 
30 21 0.001 
23 22 0.001 
26 22 0.001 
28 22 0.001 
28 23 0.001 
30 23 0.001 
28 26 0.001 
30 26 0.001 
29 27 0.001 
30 29 0.001 
