30 196 
1 3 0.05 
1 6 0.05 
1 7 0.05 
1 14 0.05 
1 15 0.05 
1 18 0.05 
1 19 0.05 
2 5 0.05 
2 13 0.05 
2 14 0.05 
2 16 0.05 
3 9 0.05 
3 10 0.05 
3 12 0.05 
3 14 0.05 
3 22 0.05 
3 25 0.05 
3 28 0.05 
3 29 0.05 
3 30 0.05 
4 8 0.05 
4 9 0.05 
4 13 0.05 
4 22 0.05 
4 23 0.05 
4 24 0.05 
4 25 0.05 
4 27 0.05 
4 30 0.05 
5 17 0.05 
5 25 0.05 
6 9 0.05 
6 12 0.05 
6 16 0.05 
6 18 0.05 
6 21 0.05 
6 29 0.05 
7 19 0.05 
7 21 0.05 
7 23 0.05 
8 11 0.05 
8 19 0.05 
8 21 0.05 
8 22 0.05 
8 24 0.05 
8 29 0.05 
9 14 0.05 
9 26 0.05 
9 29 0.05 
10 17 0.05 
10 20 0.05 
11 12 0.05 
11 14 0.05 
11 16 0.05 
11 17 0.05 
11 23 0.05 
11 27 0.05 
12 13 0.05 
12 16 0.05 
13 15 0.05 
13 16 0.05 
13 18 0.05 
13 19 0.05 
13 21 0.05 
13 22 0.05 
13 24 0.05 
14 15 0.05 
14 17 0.05 
14 24 0.05 
14 26 0.05 
14 30 0.05 
15 21 0.05 
15 27 0.05 
15 28 0.05 
15 29 0.05 
16 21 0.05 
16 27 0.05 
17 23 0.05 
17 30 0.05 
18 19 0.05 
18 23 0.05 
18 27 0.05 
18 30 0.05 
19 23 0.05 
20 21 0.05 
20 27 0.05 
20 29 0.05 
21 22 0.05 
21 30 0.05 
22 23 0.05 
22 26 0.05 
22 28 0.05 
23 28 0.05 
23 30 0.05 
26 28 0.05 
26 30 0.05 
27 29 0.05 
29 30 0.05 
3 1 0.05 
6 1 0.05 
7 1 0.05 
14 1 0.05 
15 1 0.05 
18 1 0.05 
19 1 0.05 
5 2 0.05 
13 2 0.05 
14 2 0.05 
16 2 0.05 
9 3 0.05 
10 3 0.05 
12 3 0.05 
14 3 0.05 
22 3 0.05 
25 3 0.05 
28 3 0.05 
29 3 0.05 
30 3 0.05 
8 4 0.05 
9 4 0.05 
13 4 0.05 
22 4 0.05 
23 4 0.05 
24 4 0.05 
25 4 0.05 
27 4 0.05 
30 4 0.05 
17 5 0.05 
25 5 0.05 
9 6 0.05 
12 6 0.05 
16 6 0.05 
18 6 0.05 
21 6 0.05 
29 6 0.05 
19 7 0.05 
21 7 0.05 
23 7 0.05 
11 8 0.05 
19 8 0.05 
21 8 0.05 
22 8 0.05 
24 8 0.05 
29 8 0.05 
14 9 0.05 
26 9 0.05 
29 9 0.05 
17 10 0.05 
20 10 0.05 
12 11 0.05 
14 11 0.05 
16 11 0.05 
17 11 0.05 
23 11 0.05 
27 11 0.05 
13 12 0.05 
16 12 0.05 
15 13 0.05 
16 13 0.05 
18 13 0.05 
19 13 0.05 
21 13 0.05 
22 13 0.05 
24 13 0.05 
15 14 0.05 
17 14 0.05 
24 14 0.05 
26 14 0.05 
30 14 0.05 
21 15 0.05 
27 15 0.05 
28 15 0.05 
29 15 0.05 
21 16 0.05 
27 16 0.05 
23 17 0.05 
30 17 0.05 
19 18 0.05 
23 18 0.05 
27 18 0.05 
30 18 0.05 
23 19 0.05 
21 20 0.05 
27 20 0.05 
29 20 0.05 
22 21 0.05 
30 21 0.05 
23 22 0.05 
26 22 0.05 
28 22 0.05 
28 23 0.05 
30 23 0.05 
28 26 0.05 
30 26 0.05 
29 27 0.05 
30 29 0.05 
