34 156 
1 2 0.1 
1 3 0.1 
1 4 0.1 
1 5 0.1 
1 6 0.1 
1 7 0.1 
1 8 0.1 
1 9 0.1 
1 11 0.1 
1 12 0.1 
1 13 0.1 
1 14 0.1 
1 18 0.1 
1 20 0.1 
1 22 0.1 
1 32 0.1 
2 3 0.1 
2 4 0.1 
2 8 0.1 
2 14 0.1 
2 18 0.1 
2 20 0.1 
2 22 0.1 
2 31 0.1 
3 4 0.1 
3 8 0.1 
3 9 0.1 
3 10 0.1 
3 14 0.1 
3 28 0.1 
3 29 0.1 
3 33 0.1 
4 8 0.1 
4 13 0.1 
4 14 0.1 
5 7 0.1 
5 11 0.1 
6 7 0.1 
6 11 0.1 
6 17 0.1 
7 17 0.1 
9 31 0.1 
9 33 0.1 
9 34 0.1 
10 34 0.1 
14 34 0.1 
15 33 0.1 
15 34 0.1 
16 33 0.1 
16 34 0.1 
19 33 0.1 
19 34 0.1 
20 34 0.1 
21 33 0.1 
21 34 0.1 
23 33 0.1 
23 34 0.1 
24 26 0.1 
24 28 0.1 
24 30 0.1 
24 33 0.1 
24 34 0.1 
25 26 0.1 
25 28 0.1 
25 32 0.1 
26 32 0.1 
27 30 0.1 
27 34 0.1 
28 34 0.1 
29 32 0.1 
29 34 0.1 
30 33 0.1 
30 34 0.1 
31 33 0.1 
31 34 0.1 
32 33 0.1 
32 34 0.1 
33 34 0.1 
2 1 0.1 
3 1 0.1 
4 1 0.1 
5 1 0.1 
6 1 0.1 
7 1 0.1 
8 1 0.1 
9 1 0.1 
11 1 0.1 
12 1 0.1 
13 1 0.1 
14 1 0.1 
18 1 0.1 
20 1 0.1 
22 1 0.1 
32 1 0.1 
3 2 0.1 
4 2 0.1 
8 2 0.1 
14 2 0.1 
18 2 0.1 
20 2 0.1 
22 2 0.1 
31 2 0.1 
4 3 0.1 
8 3 0.1 
9 3 0.1 
10 3 0.1 
14 3 0.1 
28 3 0.1 
29 3 0.1 
33 3 0.1 
8 4 0.1 
13 4 0.1 
14 4 0.1 
7 5 0.1 
11 5 0.1 
7 6 0.1 
11 6 0.1 
17 6 0.1 
17 7 0.1 
31 9 0.1 
33 9 0.1 
34 9 0.1 
34 10 0.1 
34 14 0.1 
33 15 0.1 
34 15 0.1 
33 16 0.1 
34 16 0.1 
33 19 0.1 
34 19 0.1 
34 20 0.1 
33 21 0.1 
34 21 0.1 
33 23 0.1 
34 23 0.1 
26 24 0.1 
28 24 0.1 
30 24 0.1 
33 24 0.1 
34 24 0.1 
26 25 0.1 
28 25 0.1 
32 25 0.1 
32 26 0.1 
30 27 0.1 
34 27 0.1 
34 28 0.1 
32 29 0.1 
34 29 0.1 
33 30 0.1 
34 30 0.1 
33 31 0.1 
34 31 0.1 
33 32 0.1 
34 32 0.1 
34 33 0.1 
