20 134 
1 4 0.05 
1 6 0.05 
1 13 0.05 
1 16 0.05 
1 18 0.05 
1 19 0.05 
2 4 0.05 
2 5 0.05 
2 9 0.05 
2 17 0.05 
2 20 0.05 
3 4 0.05 
3 5 0.05 
3 8 0.05 
3 9 0.05 
3 11 0.05 
3 15 0.05 
3 17 0.05 
3 18 0.05 
4 6 0.05 
4 11 0.05 
4 12 0.05 
4 13 0.05 
4 14 0.05 
4 15 0.05 
4 16 0.05 
4 17 0.05 
4 18 0.05 
5 7 0.05 
5 9 0.05 
5 11 0.05 
5 15 0.05 
5 17 0.05 
6 8 0.05 
6 9 0.05 
6 11 0.05 
6 13 0.05 
6 15 0.05 
6 18 0.05 
6 20 0.05 
7 13 0.05 
7 14 0.05 
7 15 0.05 
7 20 0.05 
8 11 0.05 
9 10 0.05 
9 17 0.05 
10 13 0.05 
10 15 0.05 
11 13 0.05 
11 14 0.05 
11 15 0.05 
11 17 0.05 
12 15 0.05 
12 16 0.05 
12 20 0.05 
13 14 0.05 
13 15 0.05 
13 16 0.05 
14 20 0.05 
16 17 0.05 
16 18 0.05 
16 19 0.05 
16 20 0.05 
17 18 0.05 
17 19 0.05 
17 20 0.05 
4 1 0.05 
6 1 0.05 
13 1 0.05 
16 1 0.05 
18 1 0.05 
19 1 0.05 
4 2 0.05 
5 2 0.05 
9 2 0.05 
17 2 0.05 
20 2 0.05 
4 3 0.05 
5 3 0.05 
8 3 0.05 
9 3 0.05 
11 3 0.05 
15 3 0.05 
17 3 0.05 
18 3 0.05 
6 4 0.05 
11 4 0.05 
12 4 0.05 
13 4 0.05 
14 4 0.05 
15 4 0.05 
16 4 0.05 
17 4 0.05 
18 4 0.05 
7 5 0.05 
9 5 0.05 
11 5 0.05 
15 5 0.05 
17 5 0.05 
8 6 0.05 
9 6 0.05 
11 6 0.05 
13 6 0.05 
15 6 0.05 
18 6 0.05 
20 6 0.05 
13 7 0.05 
14 7 0.05 
15 7 0.05 
20 7 0.05 
11 8 0.05 
10 9 0.05 
17 9 0.05 
13 10 0.05 
15 10 0.05 
13 11 0.05 
14 11 0.05 
15 11 0.05 
17 11 0.05 
15 12 0.05 
16 12 0.05 
20 12 0.05 
14 13 0.05 
15 13 0.05 
16 13 0.05 
20 14 0.05 
17 16 0.05 
18 16 0.05 
19 16 0.05 
20 16 0.05 
18 17 0.05 
19 17 0.05 
20 17 0.05 
