25 132 
1 7 0.05 
1 10 0.05 
1 21 0.05 
1 23 0.05 
1 24 0.05 
2 11 0.05 
2 13 0.05 
2 20 0.05 
2 23 0.05 
2 25 0.05 
3 6 0.05 
4 12 0.05 
4 14 0.05 
4 16 0.05 
4 19 0.05 
4 20 0.05 
5 7 0.05 
5 10 0.05 
5 13 0.05 
5 19 0.05 
6 9 0.05 
6 12 0.05 
6 21 0.05 
7 8 0.05 
7 9 0.05 
7 10 0.05 
7 12 0.05 
7 23 0.05 
8 13 0.05 
8 16 0.05 
8 20 0.05 
8 21 0.05 
8 22 0.05 
8 23 0.05 
9 10 0.05 
9 21 0.05 
10 14 0.05 
10 17 0.05 
10 25 0.05 
11 12 0.05 
11 13 0.05 
11 14 0.05 
11 16 0.05 
11 18 0.05 
11 24 0.05 
11 25 0.05 
12 13 0.05 
12 18 0.05 
13 17 0.05 
13 23 0.05 
14 18 0.05 
14 23 0.05 
15 19 0.05 
15 23 0.05 
15 24 0.05 
16 17 0.05 
16 24 0.05 
17 19 0.05 
17 20 0.05 
17 22 0.05 
17 25 0.05 
18 20 0.05 
18 23 0.05 
19 24 0.05 
22 25 0.05 
23 24 0.05 
7 1 0.05 
10 1 0.05 
21 1 0.05 
23 1 0.05 
24 1 0.05 
11 2 0.05 
13 2 0.05 
20 2 0.05 
23 2 0.05 
25 2 0.05 
6 3 0.05 
12 4 0.05 
14 4 0.05 
16 4 0.05 
19 4 0.05 
20 4 0.05 
7 5 0.05 
10 5 0.05 
13 5 0.05 
19 5 0.05 
9 6 0.05 
12 6 0.05 
21 6 0.05 
8 7 0.05 
9 7 0.05 
10 7 0.05 
12 7 0.05 
23 7 0.05 
13 8 0.05 
16 8 0.05 
20 8 0.05 
21 8 0.05 
22 8 0.05 
23 8 0.05 
10 9 0.05 
21 9 0.05 
14 10 0.05 
17 10 0.05 
25 10 0.05 
12 11 0.05 
13 11 0.05 
14 11 0.05 
16 11 0.05 
18 11 0.05 
24 11 0.05 
25 11 0.05 
13 12 0.05 
18 12 0.05 
17 13 0.05 
23 13 0.05 
18 14 0.05 
23 14 0.05 
19 15 0.05 
23 15 0.05 
24 15 0.05 
17 16 0.05 
24 16 0.05 
19 17 0.05 
20 17 0.05 
22 17 0.05 
25 17 0.05 
20 18 0.05 
23 18 0.05 
24 19 0.05 
25 22 0.05 
24 23 0.05 
