34 156 
1 2 0.4 
1 3 0.4 
1 4 0.4 
1 5 0.4 
1 6 0.4 
1 7 0.4 
1 8 0.4 
1 9 0.4 
1 11 0.4 
1 12 0.4 
1 13 0.4 
1 14 0.4 
1 18 0.4 
1 20 0.4 
1 22 0.4 
1 32 0.4 
2 3 0.4 
2 4 0.4 
2 8 0.4 
2 14 0.4 
2 18 0.4 
2 20 0.4 
2 22 0.4 
2 31 0.4 
3 4 0.4 
3 8 0.4 
3 9 0.4 
3 10 0.4 
3 14 0.4 
3 28 0.4 
3 29 0.4 
3 33 0.4 
4 8 0.4 
4 13 0.4 
4 14 0.4 
5 7 0.4 
5 11 0.4 
6 7 0.4 
6 11 0.4 
6 17 0.4 
7 17 0.4 
9 31 0.4 
9 33 0.4 
9 34 0.4 
10 34 0.4 
14 34 0.4 
15 33 0.4 
15 34 0.4 
16 33 0.4 
16 34 0.4 
19 33 0.4 
19 34 0.4 
20 34 0.4 
21 33 0.4 
21 34 0.4 
23 33 0.4 
23 34 0.4 
24 26 0.4 
24 28 0.4 
24 30 0.4 
24 33 0.4 
24 34 0.4 
25 26 0.4 
25 28 0.4 
25 32 0.4 
26 32 0.4 
27 30 0.4 
27 34 0.4 
28 34 0.4 
29 32 0.4 
29 34 0.4 
30 33 0.4 
30 34 0.4 
31 33 0.4 
31 34 0.4 
32 33 0.4 
32 34 0.4 
33 34 0.4 
2 1 0.4 
3 1 0.4 
4 1 0.4 
5 1 0.4 
6 1 0.4 
7 1 0.4 
8 1 0.4 
9 1 0.4 
11 1 0.4 
12 1 0.4 
13 1 0.4 
14 1 0.4 
18 1 0.4 
20 1 0.4 
22 1 0.4 
32 1 0.4 
3 2 0.4 
4 2 0.4 
8 2 0.4 
14 2 0.4 
18 2 0.4 
20 2 0.4 
22 2 0.4 
31 2 0.4 
4 3 0.4 
8 3 0.4 
9 3 0.4 
10 3 0.4 
14 3 0.4 
28 3 0.4 
29 3 0.4 
33 3 0.4 
8 4 0.4 
13 4 0.4 
14 4 0.4 
7 5 0.4 
11 5 0.4 
7 6 0.4 
11 6 0.4 
17 6 0.4 
17 7 0.4 
31 9 0.4 
33 9 0.4 
34 9 0.4 
34 10 0.4 
34 14 0.4 
33 15 0.4 
34 15 0.4 
33 16 0.4 
34 16 0.4 
33 19 0.4 
34 19 0.4 
34 20 0.4 
33 21 0.4 
34 21 0.4 
33 23 0.4 
34 23 0.4 
26 24 0.4 
28 24 0.4 
30 24 0.4 
33 24 0.4 
34 24 0.4 
26 25 0.4 
28 25 0.4 
32 25 0.4 
32 26 0.4 
30 27 0.4 
34 27 0.4 
34 28 0.4 
32 29 0.4 
34 29 0.4 
33 30 0.4 
34 30 0.4 
33 31 0.4 
34 31 0.4 
33 32 0.4 
34 32 0.4 
34 33 0.4 
