15 84 
1 3 0.01 
1 6 0.01 
1 7 0.01 
1 9 0.01 
1 12 0.01 
1 14 0.01 
1 15 0.01 
2 7 0.01 
2 15 0.01 
3 10 0.01 
3 12 0.01 
4 5 0.01 
4 8 0.01 
4 15 0.01 
5 9 0.01 
5 11 0.01 
5 12 0.01 
5 14 0.01 
5 15 0.01 
6 7 0.01 
6 9 0.01 
6 12 0.01 
7 8 0.01 
7 9 0.01 
7 11 0.01 
7 12 0.01 
7 13 0.01 
7 14 0.01 
7 15 0.01 
8 9 0.01 
8 11 0.01 
8 15 0.01 
9 10 0.01 
9 11 0.01 
9 14 0.01 
10 11 0.01 
10 15 0.01 
11 14 0.01 
12 13 0.01 
12 15 0.01 
13 15 0.01 
14 15 0.01 
3 1 0.01 
6 1 0.01 
7 1 0.01 
9 1 0.01 
12 1 0.01 
14 1 0.01 
15 1 0.01 
7 2 0.01 
15 2 0.01 
10 3 0.01 
12 3 0.01 
5 4 0.01 
8 4 0.01 
15 4 0.01 
9 5 0.01 
11 5 0.01 
12 5 0.01 
14 5 0.01 
15 5 0.01 
7 6 0.01 
9 6 0.01 
12 6 0.01 
8 7 0.01 
9 7 0.01 
11 7 0.01 
12 7 0.01 
13 7 0.01 
14 7 0.01 
15 7 0.01 
9 8 0.01 
11 8 0.01 
15 8 0.01 
10 9 0.01 
11 9 0.01 
14 9 0.01 
11 10 0.01 
15 10 0.01 
14 11 0.01 
13 12 0.01 
15 12 0.01 
15 13 0.01 
15 14 0.01 
