25 132 
1 7 0.01 
1 10 0.01 
1 21 0.01 
1 23 0.01 
1 24 0.01 
2 11 0.01 
2 13 0.01 
2 20 0.01 
2 23 0.01 
2 25 0.01 
3 6 0.01 
4 12 0.01 
4 14 0.01 
4 16 0.01 
4 19 0.01 
4 20 0.01 
5 7 0.01 
5 10 0.01 
5 13 0.01 
5 19 0.01 
6 9 0.01 
6 12 0.01 
6 21 0.01 
7 8 0.01 
7 9 0.01 
7 10 0.01 
7 12 0.01 
7 23 0.01 
8 13 0.01 
8 16 0.01 
8 20 0.01 
8 21 0.01 
8 22 0.01 
8 23 0.01 
9 10 0.01 
9 21 0.01 
10 14 0.01 
10 17 0.01 
10 25 0.01 
11 12 0.01 
11 13 0.01 
11 14 0.01 
11 16 0.01 
11 18 0.01 
11 24 0.01 
11 25 0.01 
12 13 0.01 
12 18 0.01 
13 17 0.01 
13 23 0.01 
14 18 0.01 
14 23 0.01 
15 19 0.01 
15 23 0.01 
15 24 0.01 
16 17 0.01 
16 24 0.01 
17 19 0.01 
17 20 0.01 
17 22 0.01 
17 25 0.01 
18 20 0.01 
18 23 0.01 
19 24 0.01 
22 25 0.01 
23 24 0.01 
7 1 0.01 
10 1 0.01 
21 1 0.01 
23 1 0.01 
24 1 0.01 
11 2 0.01 
13 2 0.01 
20 2 0.01 
23 2 0.01 
25 2 0.01 
6 3 0.01 
12 4 0.01 
14 4 0.01 
16 4 0.01 
19 4 0.01 
20 4 0.01 
7 5 0.01 
10 5 0.01 
13 5 0.01 
19 5 0.01 
9 6 0.01 
12 6 0.01 
21 6 0.01 
8 7 0.01 
9 7 0.01 
10 7 0.01 
12 7 0.01 
23 7 0.01 
13 8 0.01 
16 8 0.01 
20 8 0.01 
21 8 0.01 
22 8 0.01 
23 8 0.01 
10 9 0.01 
21 9 0.01 
14 10 0.01 
17 10 0.01 
25 10 0.01 
12 11 0.01 
13 11 0.01 
14 11 0.01 
16 11 0.01 
18 11 0.01 
24 11 0.01 
25 11 0.01 
13 12 0.01 
18 12 0.01 
17 13 0.01 
23 13 0.01 
18 14 0.01 
23 14 0.01 
19 15 0.01 
23 15 0.01 
24 15 0.01 
17 16 0.01 
24 16 0.01 
19 17 0.01 
20 17 0.01 
22 17 0.01 
25 17 0.01 
20 18 0.01 
23 18 0.01 
24 19 0.01 
25 22 0.01 
24 23 0.01 
