10 62 
1 2 0.001 
1 4 0.001 
1 5 0.001 
1 7 0.001 
1 8 0.001 
1 9 0.001 
2 4 0.001 
2 5 0.001 
2 6 0.001 
2 9 0.001 
3 4 0.001 
3 6 0.001 
3 7 0.001 
3 8 0.001 
3 9 0.001 
4 5 0.001 
4 7 0.001 
4 8 0.001 
5 6 0.001 
5 7 0.001 
5 8 0.001 
5 9 0.001 
5 10 0.001 
6 8 0.001 
6 9 0.001 
7 8 0.001 
7 9 0.001 
7 10 0.001 
8 9 0.001 
8 10 0.001 
9 10 0.001 
2 1 0.001 
4 1 0.001 
5 1 0.001 
7 1 0.001 
8 1 0.001 
9 1 0.001 
4 2 0.001 
5 2 0.001 
6 2 0.001 
9 2 0.001 
4 3 0.001 
6 3 0.001 
7 3 0.001 
8 3 0.001 
9 3 0.001 
5 4 0.001 
7 4 0.001 
8 4 0.001 
6 5 0.001 
7 5 0.001 
8 5 0.001 
9 5 0.001 
10 5 0.001 
8 6 0.001 
9 6 0.001 
8 7 0.001 
9 7 0.001 
10 7 0.001 
9 8 0.001 
10 8 0.001 
10 9 0.001 
